resume,category
Python developer with machine learning experience,Data Scientist
Java backend developer with spring boot,Backend Developer
Frontend developer with html css javascript,Frontend Developer
Android developer with kotlin experience,Mobile Developer
Data analyst with sql and excel skills,Data Analyst
Machine learning engineer with python and sklearn,Data Scientist
Full stack developer with react and nodejs,Full Stack Developer
DevOps engineer with docker and kubernetes,DevOps Engineer
Software engineer with c++ and problem solving,Software Engineer
AI engineer with deep learning and nlp,AI Engineer
